PlayerName,Team,pass_att,pass_cmp,pass_yds,pass_tds,pass_ints,rush_att,rush_yds,rush_tds,fumbles,fpts
Charlie Whitehurst,SD,13.7,12.8,156.5,0.8,0.8,1,5.8,0,0.6,7.3
David Carr,NYG,21.5,14.5,137,0.8,0.6,1,4.6,0,0.4,7.3
Ryan Lindley,ARI,0,15,150,1,2,0,10,0,0,7
Charlie Batch,PIT,22,8.7,99,0.7,0.3,3,2,0,0,6.2
Tyrod Taylor,BAL,17.3,11.5,121.4,0.3,0.6,3.9,15.4,0,0.2,6
Chase Daniel,NO,24.7,14.4,125.2,0.5,0.2,0.5,2.6,0,0.3,6
Adam Weber,DEN,36,13,144,1,1,1,2,0,1,6
Caleb Hanie,DEN,19.1,13,118.9,0.5,1.2,1.4,8.5,0,0,5.4
Tyler Thigpen,BUF,15.4,5.3,76.9,0.4,0.4,3.4,11.1,0,0,5.1
Terrelle Pryor,OAK,0,6,50,0,0.3,4,30.9,0,0,4.4
Stephen McGee,DAL,10,3.1,35.1,0.4,0,2.7,11.1,0,0,4.2
Bruce Gradkowski,CIN,18.4,10.1,94,0.5,0.5,1.5,2,0,0.4,4.1
Derek Anderson,CAR,14.9,7.2,72,0.2,0.2,1,2,0,0.4,2.8
Byron Leftwich,PIT,21.5,12.2,149.3,0.2,2.3,0.3,0.3,0,0,2.2
Ryan Mallett,NE,7.2,3.5,35.2,0,0,0,0,0,0,1.4
Zac Robinson,CIN,0,0,0,0,0,0,0,0,0,0
Kirk Cousins,WAS,0,0,0,0,0,0,0,0,0,0
Ricky Stanzi,KC,0,0,0,0,0,0,0,0,0,0
Curtis Painter,BAL,0,0,0,0,0,0,0,0,0,0
Sage Rosenfels,MIN,0,0,0,0,0,0,0,0,0,0
B.J. Coleman,GB,0,0,0,0,0,0,0,0,0,0
Kellen Moore,DET,0,0,0,0,0,0,0,0,0,0
John Beck,HOU,0,0,0,0,0,0,0,0,0,0
John Parker Wilson,ATL,0,0,0,0,0,0,0,0,0,0
Jordan Palmer,JAC,0,0,0,0,0,0,0,0,0,0
Sean Canfield,NO,0,0,0,0,0,0,0,0,0,0
Jimmy Clausen,CAR,0,0,0,0,0,0,0,0,0,0
Josh McCown,CHI,0,0,0,0,0,0,0,0,0,0
Ryan Perrilloux,NYG,0,0,0,0,0,0,0,0,0,0
Greg McElroy,NYJ,0,0,0,0,0,0,0,0,0,0
Luke McCown,NO,0,0,0,0,0,0,0,0,0,0
Rusty Smith,TEN,0,0,0,0,0,0,0,0,0,0
Chandler Harnish,IND,0,0,0,0,0,0,0,0,0,0
Tom Brandstater,STL,0,0,0,0,0,0,0,0,0,0
